date|time|description|vendor|amount 
2023-01-05|10:25:13|Deposit for Invoice 2001|Alice|1200.0
2023-01-15|14:33:48|Office Supplies|Staples|-95.2
2023-02-20|11:15:07|Deposit from Client|Bob|750.0
2023-03-08|09:50:43|Software Subscription|Adobe|-29.99
2023-04-17|12:13:30|Desktop Computer|BestBuy|-899.99
2023-05-03|08:21:47|Deposit from Freelancer|Eve|200.0
2023-06-12|16:25:54|Printer Ink|Staples|-75.35
2023-07-24|13:45:30|Office Rent|Landlord|-1200.0
2023-08-15|09:05:13|Consulting Payment|Client A|1500.0
2023-09-09|18:22:09|Desk Lamp|Walmart|-35.5
2023-10-10|07:35:23|Monitor Stand|IKEA|-55.99
2023-11-18|20:45:56|Deposit for Invoice 2105|Client B|500.0
2023-12-24|10:11:11|Year-End Bonus|HR Dept|1000.0
2024-01-02|15:29:44|Conference Fee|EventCorp|-250.0
2024-01-15|17:52:20|Deposit for Invoice 2223|Client C|1500.0
2024-02-20|11:10:05|Ergonomic Chair|OfficeDepot|-345.75
2024-03-18|09:41:07|Deposit for Project XYZ|Client D|2300.0
2024-04-12|10:13:25|Travel Expenses|Airbnb|-120.0
2024-05-06|08:45:10|Software Renewal|Microsoft|-199.0
2024-05-15|14:05:40|Deposit for Contract 1023|Sara|800.0
2024-06-03|17:55:33|Computer Mouse|Amazon|-24.99
2024-07-20|16:32:20|Client Deposit|Mark|1500.0
2024-08-22|07:25:15|Headphones|BestBuy|-75.0
2024-09-05|10:00:59|Project Payment|Client F|2700.0
2024-10-14|13:21:34|Table Lamp|HomeDepot|-30.0
2024-10-29|15:55:00|Deposit for Invoice 1452|Jane|2500.0
2024-11-09|11:20:10|Gym Membership|FitLife|-99.0
2024-12-02|08:40:20|Deposit from Alice|Project Alpha|1800.0
2023-01-11|19:45:10|Training Course|Udemy|-120.0
2023-02-04|20:59:45|Deposit from Jim|Consulting Fee|200.0
2023-03-14|17:33:22|Phone Repair|Apple Store|-60.0
2023-04-07|13:10:45|Project Deposit|Client X|1300.0
2023-05-30|07:22:11|Deposit for Invoice 2121|Client Y|1000.0
2023-06-18|11:48:33|Marketing Materials|PrintCo|-350.0
2023-07-25|14:07:19|Deposit for Invoice 1301|Client Z|900.0
2023-08-13|09:09:25|Printer Paper|Walmart|-20.0
2023-09-06|16:30:55|Deposit for Contract 2003|Chris|1300.0
2023-10-20|12:22:15|Office D̩cor|HomeGoods|-45.5
2023-11-14|07:50:18|Laptop Charger|OfficeDepot|-30.0
2023-12-28|10:13:07|Deposit from Julia|Invoice 1555|2100.0
2024-01-10|11:59:55|Furniture Assembly|Handy|-60.0
2024-02-07|14:30:15|Client Deposit|Kevin|3000.0
2024-03-01|19:22:00|Tablet Stand|Apple Store|-49.0
2024-04-21|16:12:14|Deposit from HR|Company Bonus|500.0
2024-05-30|15:45:38|Deposit for Invoice 1223|Paula|1450.0
2024-06-28|09:33:45|Snacks for Office|Costco|-150.0
2024-07-10|13:12:40|Deposit for Invoice 2015|Leo|1250.0
2024-08-03|11:03:09|Team Lunch|Local Diner|-85.6
2024-09-26|17:29:33|Deposit from Invoice 1035|John|2600.0
2024-10-05|14:44:29|Laptop Bag|Amazon|-49.99
2024-11-18|09:55:00|Project Payment|Client H|3200.0
2024-12-15|10:20:05|Desk Mat|Staples|-29.5
2024-10-17|11:29:34|Office Supplies|OfficeMin|2.0
2024-10-17|12:15:59|Product Refund|Walcart|300.5
2024-10-17|12:16:49|Desk Mat|Staples|-30.0
2024-10-18|11:43:00|Refund|ShopWrong|500.0
